Llave;Rut cliente;Rut deudor;N° doc.;Tipo doc.;Fecha_pago;Fecha_prórroga
76.788.870-8-8.775.270-4-4418729-CH;76.788.870-8;8.775.270-4;4418729;CH;31/01/2025;01/01/1900
76.075.072-7-76.774.294-0-164169-FZ;76.075.072-7;76.774.294-0;164169;FZ;01/01/1900;01/01/1900
76.788.870-8-13.670.194-0-1247-CH;76.788.870-8;13.670.194-0;1247;CH;31/01/2025;01/01/1900
76.095.228-1-65.075.485-9-9057-FZ;76.095.228-1;65.075.485-9;9057;FZ;01/01/1900;01/01/1900
76.622.416-4-96.872.930-6-8150-FZ;76.622.416-4;96.872.930-6;8150;FZ;01/01/1900;01/01/1900
76.622.416-4-96.872.930-6-8032-FZ;76.622.416-4;96.872.930-6;8032;FZ;21/01/2025;01/01/1900
76.780.652-3-90.703.000-8-4866-FZ;76.780.652-3;90.703.000-8;4866;FZ;31/01/2025;01/01/1900
76.543.532-3-77.913.150-5-4178136-CH;76.543.532-3;77.913.150-5;4178136;CH;31/01/2025;01/01/1900
76.058.534-3-84.687.300-7-18700-FZ;76.058.534-3;84.687.300-7;18700;FZ;31/01/2025;01/01/1900
76.622.416-4-96.872.930-6-8060-FZ;76.622.416-4;96.872.930-6;8060;FZ;31/01/2025;01/01/1900
76.058.534-3-91.125.000-4-18657-FZ;76.058.534-3;91.125.000-4;18657;FZ;01/01/1900;01/01/1900
76.743.149-K-99.575.470-3-16353-FZ;76.743.149-K;99.575.470-3;16353;FZ;01/01/1900;01/01/1900
76.622.416-4-96.872.930-6-8152-FZ;76.622.416-4;96.872.930-6;8152;FZ;01/01/1900;01/01/1900
76.248.428-5-78.536.950-5-1428-FZ;76.248.428-5;78.536.950-5;1428;FZ;01/01/1900;01/01/1900
76.248.428-5-96.651.910-K-1434-FZ;76.248.428-5;96.651.910-K;1434;FZ;01/01/1900;01/01/1900
76.743.149-K-99.575.470-3-15747-FZ;76.743.149-K;99.575.470-3;15747;FZ;01/01/1900;01/01/1900
76.267.458-0-76.267.458-0-30013829-GC;76.267.458-0;76.267.458-0;30013829;GC;27/01/2025;01/01/1900
92.617.000-7-93.402.000-6-72704-FZ;92.617.000-7;93.402.000-6;72704;FZ;01/01/1900;01/01/1900
76.780.652-3-90.703.000-8-4824-FZ;76.780.652-3;90.703.000-8;4824;FZ;31/01/2025;01/01/1900
76.622.416-4-96.872.930-6-8133-FZ;76.622.416-4;96.872.930-6;8133;FZ;01/01/1900;01/01/1900
76.622.416-4-96.872.930-6-8009-FZ;76.622.416-4;96.872.930-6;8009;FZ;21/01/2025;01/01/1900
77.524.953-6-88.689.100-8-83-FZ;77.524.953-6;88.689.100-8;83;FZ;01/01/1900;01/01/1900
76.058.534-3-84.687.300-7-18719-FZ;76.058.534-3;84.687.300-7;18719;FZ;31/01/2025;01/01/1900
76.058.534-3-84.687.300-7-18671-FZ;76.058.534-3;84.687.300-7;18671;FZ;31/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18764-FZ;76.058.534-3;96.997.500-9;18764;FZ;01/01/1900;01/01/1900
76.058.534-3-91.125.000-4-18225-FZ;76.058.534-3;91.125.000-4;18225;FZ;01/01/1900;01/01/1900
77.042.492-5-76.008.802-1-1671-FZ;77.042.492-5;76.008.802-1;1671;FZ;31/01/2025;01/01/1900
76.058.534-3-91.125.000-4-18870-FZ;76.058.534-3;91.125.000-4;18870;FZ;01/01/1900;01/01/1900
78.435.940-9-76.335.648-5-9347-FZ;78.435.940-9;76.335.648-5;9347;FZ;31/01/2025;01/01/1900
76.972.531-8-9.471.837-6-6505224-CH;76.972.531-8;9.471.837-6;6505224;CH;31/01/2025;01/01/1900
15.102.979-5-76.532.024-0-1985-FZ;15.102.979-5;76.532.024-0;1985;FZ;01/01/1900;01/01/1900
76.075.072-7-96.670.840-9-162011-FZ;76.075.072-7;96.670.840-9;162011;FZ;01/01/1900;01/01/1900
92.617.000-7-77.179.870-5-694957-CH;92.617.000-7;77.179.870-5;694957;CH;31/01/2025;01/01/1900
76.977.796-2-88.502.900-0-7239-FZ;76.977.796-2;88.502.900-0;7239;FZ;24/01/2025;01/01/1900
77.012.026-8-77.036.789-1-10979-FZ;77.012.026-8;77.036.789-1;10979;FZ;01/01/1900;01/01/1900
76.972.531-8-77.189.314-7-2476388-CH;76.972.531-8;77.189.314-7;2476388;CH;31/01/2025;01/01/1900
76.058.534-3-96.554.560-3-18848-FZ;76.058.534-3;96.554.560-3;18848;FZ;01/01/1900;01/01/1900
77.882.247-4-97.036.000-K-129-FZ;77.882.247-4;97.036.000-K;129;FZ;01/01/1900;01/01/1900
77.882.247-4-97.036.000-K-116-FZ;77.882.247-4;97.036.000-K;116;FZ;01/01/1900;01/01/1900
76.716.697-4-59.301.810-5-1833-FZ;76.716.697-4;59.301.810-5;1833;FZ;01/01/1900;01/01/1900
76.058.534-3-84.687.300-7-18721-FZ;76.058.534-3;84.687.300-7;18721;FZ;31/01/2025;01/01/1900
92.617.000-7-77.179.870-5-694956-CH;92.617.000-7;77.179.870-5;694956;CH;31/01/2025;01/01/1900
76.840.121-7-76.982.036-1-852-FZ;76.840.121-7;76.982.036-1;852;FZ;31/01/2025;01/01/1900
76.840.121-7-76.982.036-1-851-FZ;76.840.121-7;76.982.036-1;851;FZ;31/01/2025;01/01/1900
76.058.534-3-76.401.158-9-18267-FZ;76.058.534-3;76.401.158-9;18267;FZ;31/01/2025;01/01/1900
13.790.874-3-77.667.880-5-294-FZ;13.790.874-3;77.667.880-5;294;FZ;01/01/1900;01/01/1900
78.435.940-9-76.335.648-5-9529-FZ;78.435.940-9;76.335.648-5;9529;FZ;17/01/2025;01/01/1900
76.477.845-6-99.586.830-K-781-FZ;76.477.845-6;99.586.830-K;781;FZ;01/01/1900;01/01/1900
77.298.640-8-89.853.600-9-1608-FZ;77.298.640-8;89.853.600-9;1608;FZ;01/01/1900;01/01/1900
76.058.534-3-99.504.740-3-19309-FZ;76.058.534-3;99.504.740-3;19309;FZ;01/01/1900;01/01/1900
77.012.026-8-77.036.789-1-10959-FZ;77.012.026-8;77.036.789-1;10959;FZ;01/01/1900;01/01/1900
76.977.796-2-76.041.417-4-7313-FZ;76.977.796-2;76.041.417-4;7313;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18674-FZ;76.058.534-3;96.997.500-9;18674;FZ;01/01/1900;01/01/1900
77.012.026-8-77.036.789-1-11009-FZ;77.012.026-8;77.036.789-1;11009;FZ;01/01/1900;01/01/1900
76.058.534-3-91.125.000-4-18732-FZ;76.058.534-3;91.125.000-4;18732;FZ;01/01/1900;01/01/1900
77.524.953-6-88.689.100-8-80-FZ;77.524.953-6;88.689.100-8;80;FZ;01/01/1900;01/01/1900
76.840.121-7-76.982.036-1-854-FZ;76.840.121-7;76.982.036-1;854;FZ;31/01/2025;01/01/1900
76.058.534-3-77.585.350-6-19276-FZ;76.058.534-3;77.585.350-6;19276;FZ;31/01/2025;01/01/1900
76.840.121-7-76.982.036-1-853-FZ;76.840.121-7;76.982.036-1;853;FZ;31/01/2025;01/01/1900
76.543.532-3-77.002.391-2-58-CH;76.543.532-3;77.002.391-2;58;CH;01/01/1900;01/01/1900
76.075.072-7-76.926.460-4-164865-FZ;76.075.072-7;76.926.460-4;164865;FZ;01/01/1900;01/01/1900
77.795.790-2-76.411.321-7-3014-FZ;77.795.790-2;76.411.321-7;3014;FZ;01/01/1900;01/01/1900
76.743.149-K-99.575.470-3-16620-FZ;76.743.149-K;99.575.470-3;16620;FZ;01/01/1900;01/01/1900
76.972.531-8-96.863.090-3-40196-FZ;76.972.531-8;96.863.090-3;40196;FZ;01/01/1900;01/01/1900
76.460.930-1-61.313.000-4-1197-FS;76.460.930-1;61.313.000-4;1197;FS;01/01/1900;01/01/1900
78.435.940-9-76.335.648-5-9320-FZ;78.435.940-9;76.335.648-5;9320;FZ;31/01/2025;01/01/1900
76.157.678-K-81.866.400-1-672-FZ;76.157.678-K;81.866.400-1;672;FZ;31/01/2025;01/01/1900
76.058.534-3-99.504.740-3-19313-FZ;76.058.534-3;99.504.740-3;19313;FZ;01/01/1900;01/01/1900
76.579.980-5-96.770.100-9-872-FZ;76.579.980-5;96.770.100-9;872;FZ;24/01/2025;01/01/1900
76.622.416-4-79.921.330-3-8145-FZ;76.622.416-4;79.921.330-3;8145;FZ;01/01/1900;01/01/1900
76.058.534-3-99.504.740-3-19311-FZ;76.058.534-3;99.504.740-3;19311;FZ;01/01/1900;01/01/1900
76.058.534-3-91.125.000-4-18466-FZ;76.058.534-3;91.125.000-4;18466;FZ;01/01/1900;01/01/1900
77.143.234-4-96.521.440-2-420-FZ;77.143.234-4;96.521.440-2;420;FZ;01/01/1900;01/01/1900
76.058.534-3-91.125.000-4-18730-FZ;76.058.534-3;91.125.000-4;18730;FZ;01/01/1900;01/01/1900
77.795.790-2-76.411.321-7-3024-FZ;77.795.790-2;76.411.321-7;3024;FZ;01/01/1900;01/01/1900
76.075.072-7-76.467.439-1-164314-FZ;76.075.072-7;76.467.439-1;164314;FZ;31/01/2025;01/01/1900
77.298.640-8-89.853.600-9-1609-FZ;77.298.640-8;89.853.600-9;1609;FZ;01/01/1900;01/01/1900
76.058.534-3-84.687.300-7-18698-FZ;76.058.534-3;84.687.300-7;18698;FZ;31/01/2025;01/01/1900
76.058.534-3-76.401.158-9-18268-FZ;76.058.534-3;76.401.158-9;18268;FZ;31/01/2025;01/01/1900
76.007.177-3-96.672.290-8-5900-FZ;76.007.177-3;96.672.290-8;5900;FZ;01/01/1900;01/01/1900
76.972.531-8-76.216.370-5-237370-CH;76.972.531-8;76.216.370-5;237370;CH;31/01/2025;01/01/1900
78.435.940-9-76.335.648-5-9535-FZ;78.435.940-9;76.335.648-5;9535;FZ;17/01/2025;01/01/1900
77.599.963-2-95.874.000-K-87-FS;77.599.963-2;95.874.000-K;87;FS;31/01/2025;01/01/1900
76.157.678-K-81.866.400-1-666-FZ;76.157.678-K;81.866.400-1;666;FZ;31/01/2025;01/01/1900
78.435.940-9-76.335.648-5-9322-FZ;78.435.940-9;76.335.648-5;9322;FZ;31/01/2025;01/01/1900
77.298.640-8-76.525.290-3-1634-FZ;77.298.640-8;76.525.290-3;1634;FZ;01/01/1900;01/01/1900
76.664.757-K-76.479.832-5-425-FZ;76.664.757-K;76.479.832-5;425;FZ;01/01/1900;01/01/1900
15.689.105-3-96.524.340-2-1101-FZ;15.689.105-3;96.524.340-2;1101;FZ;20/01/2025;01/01/1900
76.972.531-8-77.038.620-9-40155-FZ;76.972.531-8;77.038.620-9;40155;FZ;31/01/2025;01/01/1900
92.617.000-7-93.402.000-6-72618-FZ;92.617.000-7;93.402.000-6;72618;FZ;01/01/1900;01/01/1900
76.065.389-6-78.544.560-0-599-FZ;76.065.389-6;78.544.560-0;599;FZ;01/01/1900;01/01/1900
77.298.640-8-89.853.600-9-1644-FZ;77.298.640-8;89.853.600-9;1644;FZ;01/01/1900;01/01/1900
76.972.531-8-96.863.090-3-40197-FZ;76.972.531-8;96.863.090-3;40197;FZ;01/01/1900;01/01/1900
96.799.690-4-76.060.625-1-19742-FZ;96.799.690-4;76.060.625-1;19742;FZ;24/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18763-FZ;76.058.534-3;96.997.500-9;18763;FZ;01/01/1900;01/01/1900
76.716.697-4-59.301.810-5-1831-FZ;76.716.697-4;59.301.810-5;1831;FZ;01/01/1900;01/01/1900
77.298.640-8-76.525.290-3-1587-FZ;77.298.640-8;76.525.290-3;1587;FZ;01/01/1900;01/01/1900
76.743.149-K-99.575.470-3-15898-FZ;76.743.149-K;99.575.470-3;15898;FZ;01/01/1900;01/01/1900
76.477.845-6-76.525.290-3-774-FZ;76.477.845-6;76.525.290-3;774;FZ;01/01/1900;01/01/1900
77.143.398-7-61.608.502-6-348-FZ;77.143.398-7;61.608.502-6;348;FZ;01/01/1900;01/01/1900
76.543.532-3-76.998.647-2-395-CH;76.543.532-3;76.998.647-2;395;CH;31/01/2025;01/01/1900
76.993.029-9-76.001.496-6-862-FZ;76.993.029-9;76.001.496-6;862;FZ;01/01/1900;01/01/1900
76.248.428-5-93.626.000-4-1432-FZ;76.248.428-5;93.626.000-4;1432;FZ;01/01/1900;01/01/1900
76.058.534-3-76.066.012-4-18841-FZ;76.058.534-3;76.066.012-4;18841;FZ;31/01/2025;01/01/1900
76.966.539-0-76.966.539-0-1-RD;76.966.539-0;76.966.539-0;1;RD;31/01/2025;01/01/1900
76.058.534-3-91.125.000-4-18683-FZ;76.058.534-3;91.125.000-4;18683;FZ;01/01/1900;01/01/1900
76.993.029-9-76.001.496-6-850-FZ;76.993.029-9;76.001.496-6;850;FZ;01/01/1900;01/01/1900
76.543.532-3-77.321.757-2-5846097-CH;76.543.532-3;77.321.757-2;5846097;CH;27/01/2025;01/01/1900
76.993.029-9-76.001.496-6-852-FZ;76.993.029-9;76.001.496-6;852;FZ;01/01/1900;01/01/1900
76.780.652-3-90.703.000-8-4837-FZ;76.780.652-3;90.703.000-8;4837;FZ;31/01/2025;01/01/1900
76.075.072-7-76.926.460-4-162150-FZ;76.075.072-7;76.926.460-4;162150;FZ;01/01/1900;01/01/1900
76.972.531-8-9.063.782-7-5050605-CH;76.972.531-8;9.063.782-7;5050605;CH;31/01/2025;01/01/1900
77.795.790-2-76.411.321-7-3010-FZ;77.795.790-2;76.411.321-7;3010;FZ;01/01/1900;01/01/1900
76.780.652-3-90.703.000-8-4813-FZ;76.780.652-3;90.703.000-8;4813;FZ;31/01/2025;01/01/1900
76.157.678-K-76.157.678-K-214048-GC;76.157.678-K;76.157.678-K;214048;GC;01/01/1900;01/01/1900
76.058.534-3-91.125.000-4-18612-FZ;76.058.534-3;91.125.000-4;18612;FZ;01/01/1900;01/01/1900
76.972.531-8-77.038.620-9-40152-FZ;76.972.531-8;77.038.620-9;40152;FZ;31/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18842-FZ;76.058.534-3;96.997.500-9;18842;FZ;01/01/1900;01/01/1900
92.617.000-7-93.402.000-6-72596-FZ;92.617.000-7;93.402.000-6;72596;FZ;01/01/1900;01/01/1900
15.689.105-3-96.524.340-2-1105-FZ;15.689.105-3;96.524.340-2;1105;FZ;20/01/2025;01/01/1900
76.972.531-8-79.861.120-8-995217-CH;76.972.531-8;79.861.120-8;995217;CH;21/01/2025;01/01/1900
76.972.531-8-77.038.620-9-40148-FZ;76.972.531-8;77.038.620-9;40148;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18854-FZ;76.058.534-3;96.997.500-9;18854;FZ;01/01/1900;01/01/1900
77.190.863-2-96.521.440-2-1402-FZ;77.190.863-2;96.521.440-2;1402;FZ;01/01/1900;01/01/1900
76.424.990-9-76.177.199-K-2132-CH;76.424.990-9;76.177.199-K;2132;CH;31/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18680-FZ;76.058.534-3;96.997.500-9;18680;FZ;01/01/1900;01/01/1900
76.972.531-8-76.410.802-7-5527015-CH;76.972.531-8;76.410.802-7;5527015;CH;31/01/2025;01/01/1900
77.274.687-3-76.525.290-3-402-FZ;77.274.687-3;76.525.290-3;402;FZ;01/01/1900;01/01/1900
76.477.845-6-76.525.290-3-767-FZ;76.477.845-6;76.525.290-3;767;FZ;01/01/1900;01/01/1900
76.477.845-6-76.525.290-3-766-FZ;76.477.845-6;76.525.290-3;766;FZ;01/01/1900;01/01/1900
76.543.532-3-76.798.344-1-361-CH;76.543.532-3;76.798.344-1;361;CH;31/01/2025;01/01/1900
77.190.829-2-96.521.440-2-1008-FZ;77.190.829-2;96.521.440-2;1008;FZ;01/01/1900;01/01/1900
76.392.214-6-91.619.000-K-540-FS;76.392.214-6;91.619.000-K;540;FS;01/01/1900;01/01/1900
77.274.687-3-96.844.950-8-386-FZ;77.274.687-3;96.844.950-8;386;FZ;01/01/1900;01/01/1900
76.622.416-4-96.872.930-6-8095-FZ;76.622.416-4;96.872.930-6;8095;FZ;31/01/2025;01/01/1900
76.075.072-7-76.057.976-9-164749-FZ;76.075.072-7;76.057.976-9;164749;FZ;01/01/1900;01/01/1900
76.075.072-7-76.596.620-5-165385-FZ;76.075.072-7;76.596.620-5;165385;FZ;01/01/1900;01/01/1900
76.248.428-5-76.307.414-5-1433-FZ;76.248.428-5;76.307.414-5;1433;FZ;01/01/1900;01/01/1900
96.799.690-4-59.301.810-5-19701-FZ;96.799.690-4;59.301.810-5;19701;FZ;01/01/1900;01/01/1900
76.972.531-8-77.038.620-9-40229-FZ;76.972.531-8;77.038.620-9;40229;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18813-FZ;76.058.534-3;96.997.500-9;18813;FZ;01/01/1900;01/01/1900
76.058.534-3-91.125.000-4-18708-FZ;76.058.534-3;91.125.000-4;18708;FZ;01/01/1900;01/01/1900
77.012.026-8-77.036.789-1-11010-FZ;77.012.026-8;77.036.789-1;11010;FZ;01/01/1900;01/01/1900
76.583.560-7-84.280.800-6-13724-FZ;76.583.560-7;84.280.800-6;13724;FZ;31/01/2025;01/01/1900
77.143.234-4-96.521.440-2-419-FZ;77.143.234-4;96.521.440-2;419;FZ;01/01/1900;01/01/1900
76.583.560-7-84.280.800-6-13755-FZ;76.583.560-7;84.280.800-6;13755;FZ;01/01/1900;01/01/1900
76.780.652-3-90.703.000-8-4743-FZ;76.780.652-3;90.703.000-8;4743;FZ;01/01/1900;01/01/1900
77.012.026-8-78.454.690-K-10394-FZ;77.012.026-8;78.454.690-K;10394;FZ;01/01/1900;01/01/1900
76.058.534-3-96.554.560-3-18852-FZ;76.058.534-3;96.554.560-3;18852;FZ;01/01/1900;01/01/1900
76.058.534-3-99.504.740-3-19310-FZ;76.058.534-3;99.504.740-3;19310;FZ;01/01/1900;01/01/1900
76.664.757-K-77.209.737-9-416-FZ;76.664.757-K;77.209.737-9;416;FZ;01/01/1900;01/01/1900
77.143.234-4-96.521.440-2-415-FZ;77.143.234-4;96.521.440-2;415;FZ;01/01/1900;01/01/1900
76.664.757-K-76.479.832-5-419-FZ;76.664.757-K;76.479.832-5;419;FZ;01/01/1900;01/01/1900
76.075.072-7-76.705.692-3-164986-FZ;76.075.072-7;76.705.692-3;164986;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18775-FZ;76.058.534-3;96.997.500-9;18775;FZ;01/01/1900;01/01/1900
15.102.979-5-61.606.800-8-1987-FZ;15.102.979-5;61.606.800-8;1987;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18676-FZ;76.058.534-3;96.997.500-9;18676;FZ;01/01/1900;01/01/1900
71.614.000-8-96.504.160-5-115779-FS;71.614.000-8;96.504.160-5;115779;FS;01/01/1900;01/01/1900
77.735.221-0-69.130.200-8-203-FZ;77.735.221-0;69.130.200-8;203;FZ;01/01/1900;01/01/1900
76.075.072-7-76.620.487-2-7361648-CH;76.075.072-7;76.620.487-2;7361648;CH;31/01/2025;01/01/1900
76.458.074-5-76.414.100-8-469-FS;76.458.074-5;76.414.100-8;469;FS;01/01/1900;01/01/1900
92.617.000-7-93.402.000-6-72654-FZ;92.617.000-7;93.402.000-6;72654;FZ;01/01/1900;01/01/1900
76.646.846-2-77.608.237-6-5023-FZ;76.646.846-2;77.608.237-6;5023;FZ;01/01/1900;01/01/1900
76.972.531-8-77.038.620-9-40151-FZ;76.972.531-8;77.038.620-9;40151;FZ;31/01/2025;01/01/1900
76.058.534-3-84.687.300-7-18808-FZ;76.058.534-3;84.687.300-7;18808;FZ;31/01/2025;01/01/1900
77.506.805-1-76.749.017-8-42-F2;77.506.805-1;76.749.017-8;42;F2;31/01/2025;01/01/1900
76.075.072-7-77.120.363-9-164689-FZ;76.075.072-7;77.120.363-9;164689;FZ;01/01/1900;01/01/1900
76.095.039-4-76.298.660-4-1460-FZ;76.095.039-4;76.298.660-4;1460;FZ;01/01/1900;01/01/1900
96.669.540-4-59.241.160-1-27181-FZ;96.669.540-4;59.241.160-1;27181;FZ;01/01/1900;01/01/1900
76.606.469-8-76.212.492-0-1441-FZ;76.606.469-8;76.212.492-0;1441;FZ;01/01/1900;01/01/1900
77.862.467-2-81.533.600-3-457-FZ;77.862.467-2;81.533.600-3;457;FZ;01/01/1900;01/01/1900
76.780.652-3-90.703.000-8-4827-FZ;76.780.652-3;90.703.000-8;4827;FZ;31/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18673-FZ;76.058.534-3;96.997.500-9;18673;FZ;01/01/1900;01/01/1900
92.617.000-7-76.537.708-0-4160892-CH;92.617.000-7;76.537.708-0;4160892;CH;31/01/2025;01/01/1900
76.622.416-4-79.921.330-3-8160-FZ;76.622.416-4;79.921.330-3;8160;FZ;01/01/1900;01/01/1900
76.622.416-4-79.921.330-3-8146-FZ;76.622.416-4;79.921.330-3;8146;FZ;01/01/1900;01/01/1900
76.248.428-5-76.307.414-5-1431-FZ;76.248.428-5;76.307.414-5;1431;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18811-FZ;76.058.534-3;96.997.500-9;18811;FZ;01/01/1900;01/01/1900
77.298.640-8-76.525.290-3-1528-FZ;77.298.640-8;76.525.290-3;1528;FZ;01/01/1900;01/01/1900
76.989.798-4-76.929.210-1-1878-FZ;76.989.798-4;76.929.210-1;1878;FZ;01/01/1900;01/01/1900
76.788.870-8-4.552.729-8-5949655-CH;76.788.870-8;4.552.729-8;5949655;CH;31/01/2025;01/01/1900
76.059.349-4-77.125.361-K-294567-FZ;76.059.349-4;77.125.361-K;294567;FZ;01/01/1900;01/01/1900
76.622.416-4-96.872.930-6-8000-FZ;76.622.416-4;96.872.930-6;8000;FZ;21/01/2025;01/01/1900
76.058.534-3-76.401.158-9-18250-FZ;76.058.534-3;76.401.158-9;18250;FZ;01/01/1900;01/01/1900
76.617.888-K-83.382.700-6-6179-FZ;76.617.888-K;83.382.700-6;6179;FZ;31/01/2025;01/01/1900
76.075.072-7-77.012.870-6-163226-FZ;76.075.072-7;77.012.870-6;163226;FZ;01/01/1900;01/01/1900
15.689.105-3-96.524.340-2-1109-FZ;15.689.105-3;96.524.340-2;1109;FZ;20/01/2025;01/01/1900
76.493.556-K-76.125.892-3-2738-FZ;76.493.556-K;76.125.892-3;2738;FZ;01/01/1900;01/01/1900
76.426.254-9-76.411.321-7-3044-FZ;76.426.254-9;76.411.321-7;3044;FZ;01/01/1900;01/01/1900
76.664.757-K-76.479.832-5-410-FZ;76.664.757-K;76.479.832-5;410;FZ;01/01/1900;01/01/1900
76.780.652-3-90.703.000-8-4744-FZ;76.780.652-3;90.703.000-8;4744;FZ;01/01/1900;01/01/1900
77.274.687-3-76.525.290-3-390-FZ;77.274.687-3;76.525.290-3;390;FZ;01/01/1900;01/01/1900
76.617.888-K-83.382.700-6-6178-FZ;76.617.888-K;83.382.700-6;6178;FZ;31/01/2025;01/01/1900
76.426.254-9-76.411.321-7-3043-FZ;76.426.254-9;76.411.321-7;3043;FZ;01/01/1900;01/01/1900
76.780.652-3-90.703.000-8-4808-FZ;76.780.652-3;90.703.000-8;4808;FZ;31/01/2025;01/01/1900
77.274.687-3-76.525.290-3-405-FZ;77.274.687-3;76.525.290-3;405;FZ;01/01/1900;01/01/1900
76.426.254-9-76.411.321-7-3034-FZ;76.426.254-9;76.411.321-7;3034;FZ;01/01/1900;01/01/1900
76.426.254-9-76.411.321-7-3032-FZ;76.426.254-9;76.411.321-7;3032;FZ;01/01/1900;01/01/1900
77.922.361-2-76.207.287-4-30-FZ;77.922.361-2;76.207.287-4;30;FZ;01/01/1900;01/01/1900
76.972.531-8-8.338.610-K-1014-CH;76.972.531-8;8.338.610-K;1014;CH;20/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18815-FZ;76.058.534-3;96.997.500-9;18815;FZ;01/01/1900;01/01/1900
96.799.690-4-76.230.125-3-19634-FZ;96.799.690-4;76.230.125-3;19634;FZ;01/01/1900;01/01/1900
76.664.757-K-76.547.091-9-427-FZ;76.664.757-K;76.547.091-9;427;FZ;31/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18796-FZ;76.058.534-3;96.997.500-9;18796;FZ;01/01/1900;01/01/1900
76.916.400-6-90.081.000-8-14663-FZ;76.916.400-6;90.081.000-8;14663;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18874-FZ;76.058.534-3;96.997.500-9;18874;FZ;01/01/1900;01/01/1900
76.007.177-3-69.250.500-K-5912-FZ;76.007.177-3;69.250.500-K;5912;FZ;01/01/1900;01/01/1900
76.438.369-9-89.853.600-9-1108-FZ;76.438.369-9;89.853.600-9;1108;FZ;01/01/1900;01/01/1900
76.830.212-K-76.429.857-8-405-FZ;76.830.212-K;76.429.857-8;405;FZ;01/01/1900;01/01/1900
76.058.534-3-76.401.158-9-18441-FZ;76.058.534-3;76.401.158-9;18441;FZ;31/01/2025;01/01/1900
77.988.975-0-77.431.100-9-109-FZ;77.988.975-0;77.431.100-9;109;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18822-FZ;76.058.534-3;96.997.500-9;18822;FZ;01/01/1900;01/01/1900
76.075.072-7-77.012.870-6-163283-FZ;76.075.072-7;77.012.870-6;163283;FZ;01/01/1900;01/01/1900
76.919.086-4-96.827.370-1-2420-FZ;76.919.086-4;96.827.370-1;2420;FZ;01/01/1900;01/01/1900
76.972.531-8-77.038.620-9-40154-FZ;76.972.531-8;77.038.620-9;40154;FZ;31/01/2025;01/01/1900
77.012.026-8-77.036.789-1-11005-FZ;77.012.026-8;77.036.789-1;11005;FZ;01/01/1900;01/01/1900
76.058.534-3-96.997.500-9-18798-FZ;76.058.534-3;96.997.500-9;18798;FZ;01/01/1900;01/01/1900
76.583.560-7-76.083.093-3-13719-FZ;76.583.560-7;76.083.093-3;13719;FZ;01/01/1900;01/01/1900
77.988.975-0-77.431.100-9-110-FZ;77.988.975-0;77.431.100-9;110;FZ;01/01/1900;01/01/1900
76.075.072-7-77.728.361-8-164074-FZ;76.075.072-7;77.728.361-8;164074;FZ;01/01/1900;01/01/1900
76.058.534-3-77.585.350-6-19303-FZ;76.058.534-3;77.585.350-6;19303;FZ;31/01/2025;01/01/1900
77.862.467-2-78.977.160-K-489-FZ;77.862.467-2;78.977.160-K;489;FZ;01/01/1900;01/01/1900
76.058.534-3-84.687.300-7-18723-FZ;76.058.534-3;84.687.300-7;18723;FZ;31/01/2025;01/01/1900
76.058.534-3-96.997.500-9-18821-FZ;76.058.534-3;96.997.500-9;18821;FZ;01/01/1900;01/01/1900
77.298.640-8-77.506.741-1-1733-FZ;77.298.640-8;77.506.741-1;1733;FZ;01/01/1900;01/01/1900
76.075.072-7-9.358.785-5-8187734-CH;76.075.072-7;9.358.785-5;8187734;CH;01/01/1900;01/01/1900
76.058.534-3-84.687.300-7-18783-FZ;76.058.534-3;84.687.300-7;18783;FZ;31/01/2025;01/01/1900
76.075.072-7-79.906.790-0-164927-FZ;76.075.072-7;79.906.790-0;164927;FZ;31/01/2025;01/01/1900
76.972.531-8-77.038.620-9-40146-FZ;76.972.531-8;77.038.620-9;40146;FZ;01/01/1900;01/01/1900
77.710.547-7-76.969.493-5-258-FZ;77.710.547-7;76.969.493-5;258;FZ;01/01/1900;01/01/1900
92.617.000-7-89.664.200-6-72587-FZ;92.617.000-7;89.664.200-6;72587;FZ;31/01/2025;01/01/1900
76.058.534-3-77.585.350-6-19208-FZ;76.058.534-3;77.585.350-6;19208;FZ;31/01/2025;01/01/1900
77.298.640-8-76.273.545-8-1600-FZ;77.298.640-8;76.273.545-8;1600;FZ;01/01/1900;01/01/1900
76.058.534-3-99.504.740-3-19205-FZ;76.058.534-3;99.504.740-3;19205;FZ;01/01/1900;01/01/1900
